Title,Latitude,Longitude,Address,Category,Status,Completion Date,Storeys,Height in ft
Highland Condominiums,43.7730228,-79.1843517,"4569 Kingston Road, Toronto","Condo, Retail",Pre-Construction,0,11,131
Highland Condominiums,43.7730228,-79.1843517,"4569 Kingston Road, Toronto","Condo, Retail",Pre-Construction,0,11,131
U of T: UTSC Student Residence,43.78762082,-79.18472406,"3300 Ellesmere Road, Toronto",Residential,Pre-Construction,0,10,0
Guild Inn Estate Restoration,43.7492903,-79.1904715,"201 Guildwood Parkway, Toronto",Institutional,Under Construction,"November, 2016",0,0
U of T: UTSC Environmental Science and Chemistry,43.7884424,-79.1919673,"1101 Military Trail, Scarborough",Institutional,Under Construction,"July, 2015",5,0
Toronto Pan Am Sport Centre,43.7890169,-79.1932854,"Morningside Ave & Military Trail, Scarborough","Institutional, Public Space",Under Construction,2014,0,0
"Academy Condos, The",43.7851202,-79.1952457,"3070 Ellesmere Road, Scarborough","Condo, Retail",Under Construction,"Summer, 2019",26,259
Chartwell Guildwood Retirement Residence,43.7451732,-79.1980788,"65 Livingston Road, Toronto",Residential,Under Construction,"Early, 2020",5,0
80 Dale Avenue,43.750522,-79.2091017,"80 Dale Avenue, Scarborough","Public Space, Rental, Residential",Pre-Construction,0,27,0
"Guildwood, The",43.7431149,-79.2119447,"3655 Kingston Road, Toronto",Condo,Pre-Construction,0,8,120
U of T: UTSC Instructional Centre,43.7799425,-79.2169454,"Military Trail & Ellesmere Rd, Scarborough",Institutional,Complete,"August, 2011",4,0
Boutique Condos,43.7459948,-79.2335052,"21 Nelson St, Toronto","Condo, Retail",Complete,2011,35,0
Ten88,43.79364,-79.234715,"1088 Progress Avenue, Toronto",Condo,unknown,0,3,0
Daniels FirstHome: Markham Sheppard,43.7944789,-79.2351036,"5131 Sheppard Avenue East, Toronto","Condo, Townhouse",Pre-Construction,0,6,0
Daniels Spectrum,43.7944789,-79.2351036,"Dundas Street East at Sackville Street, Toronto","Institutional, Public Space",Complete,2012,4,0
2880 Kingston Road,43.72264472,-79.23571464,"2880 Kingston Road, Toronto","Condo, Retail",Pre-Construction,0,9,0
Golden Mile Shopping Centre Redevelopment ,43.7393508,-79.2360333,"1890 Eglinton Avenue East, Scarborough","Office, Residential, Retail",Pre-Construction,0,39,0
The Bluffs,43.7207612,-79.236974,"2815 Kingston Road, Toronto",Condo,Under Construction,"Spring, 2020",9,112
150 Eglinton East,43.73357105,-79.2381855,"150 Eglinton Avenue, Toronto","Condo, Office, Retail",Pre-Construction,0,46,548
2746 Kingston,43.7189628,-79.2399565,"2746 Kingston Road, Toronto","Condo, Public Space",Pre-Construction,0,16,0
2787 Eglinton East,43.7369945,-79.2459627,"2787 Eglinton Avenue East, Toronto",Townhouse,Pre-Construction,0,4,46
1 Eglinton East,43.7368511,-79.2468009,"1 Eglinton Ave. E., Toronto","Condo, Office, Retail",Pre-Construction,0,65,692
55 Eglinton Avenue East,43.7363589,-79.2472595,"55 Eglinton East, Toronto","Condo, Office, Retail",Pre-Construction,0,50,583
859 Eglinton West,43.7363589,-79.2472595,"859 Eglinton Avenue, Toronto","Residential, Retail",Pre-Construction,0,14,0
"Hill Condos, The",43.7363589,-79.2472595,"925 Eglinton West, Toronto","Condo, Retail",Complete,0,9,0
"Townes of Richview, The",43.7363589,-79.2472595,"Kipling and Eglinton, Toronto",Townhouse,Complete,2017,0,40
675 Progress Avenue,43.7767214,-79.2496018,"675 Progress Avenue, Scarborough","Office, Public Space, Residential, Retail",Pre-Construction,0,4,0
670 Progress Avenue,43.7769309,-79.2503153,"670 Progress Avenue, Toronto","Public Space, Residential, Retail",Pre-Construction,0,48,502
Merge Condos,43.7031678,-79.2529185,"2201 Kingston Road, Toronto",Condo,Pre-Construction,0,11,0
Centro Condos,43.77336,-79.25455953,"25 Town Centre Court, Scarborough",Condo,Complete,2011,31,0
Scarborough Civic Centre Library,43.77239855,-79.25713986,"156 Borough Dr, Scarborough",Institutional,Complete,0,1,0
Scarborough Centre Station,43.7761255,-79.25843559,"300 Borough Drive, Toronto","Public Space, Transit",Pre-Construction,0,0,0
Galaxy Condos,43.7702841,-79.2615108,"1560 Brimley Rd, Scarborough","Condo, Retail",Pre-Construction,0,15,178
Crosstown LRT: Kennedy Station,43.7326575,-79.26169701,"2467 Eglinton Avenue East, Toronto","Public Space, Transit",Under Construction,2021,1,0
Crosstown LRT: Laird Station,43.7326575,-79.26169701,"Eglinton Ave E & Laird, Toronto","Public Space, Transit",Pre-Construction,2021,1,0
2655 Lawrence Avenue East ,43.7519185,-79.2624578,"2655 Lawrence Avenue East, Toronto",Residential,Pre-Construction,0,0,0
Brimley & Progress Towers,43.7733377,-79.2626007,"1680 Brimley Rd, Scarborough","Condo, Retail",Pre-Construction,0,47,512
Birchcliff Urban Towns,43.6914451,-79.264489,"1665 Kingston Road, Toronto","Condo, Residential, Townhouse",Pre-Construction,0,3,0
Birchcliff Urban Towns,43.6914451,-79.264489,"1665 Kingston Road, Toronto","Condo, Residential, Townhouse",Pre-Construction,0,3,0
Nahid on Kennedy ,43.7247112,-79.26455895,"615 Kennedy Road, Toronto","Condo, Retail",Pre-Construction,0,9,0
"Manderley, The",43.6889417,-79.2694073,"1496 Kingston Rd, Toronto","Condo, Retail",Pre-Construction,0,10,112
300 Danforth Road,43.7019324,-79.2716448,"300 Danforth Road, Toronto","Condo, Retail, Townhouse",Pre-Construction,0,12,0
Danforth Square,43.701219,-79.2721459,"250 Danforth Road, Toronto","Condo, Retail, Townhouse",Pre-Construction,"Spring, 2018",9,0
