Address,Latitude,Longitude,Status,Application Date,Completion Date,Description,Current Use
474 BATHURST ST,43.6559675,-79.4076978,Demolition,2000-02-01,2015-07-09,demolish interior partitions on 3rd floor for open concept office.,
166 OLD YONGE ST,43.74616872,-79.40117842,Demolition,2000-06-13,2015-01-20,PROPOSED DEMOLITION OF EXISTING SFD LOCATED ON TWO NEW CREATED LOTS.  LAND DIVISION APPLICATION NO. UDLD-98-0054.,
32 GEOFFREY ST,43.64892786,-79.44614323,Demolition,2000-07-18,2015-07-22,demolish frame shed at rear of house,
104 LANSDOWNE AVE,43.64407755,-79.43825531,Demolition,2000-08-01,2015-07-10,Demolish Detached Garage at Rear,
6 ALTAMONT RD,43.77800197,-79.4257121,Demolition,2000-08-14,2015-02-27,DEMOLITION TO SINGLE FAMILY DWELLING 900 SQ FT.,
474 BATHURST ST,43.6559675,-79.4076978,Demolition,2000-08-21,2015-07-13,renovate stairs and washrooms ,
61 BAYVIEW RIDGE,43.74114748,-79.3870364,Demolition,2001-02-21,2015-02-27,TO DEMOLISH THE EXISTING ONE STOREY SINGLE FAMILY DWELLING.,
312 QUEEN ST W,43.6494217,-79.3941516,Demolition,2002-09-30,2015-06-18,"Demolish detached 2-storey and 1 storey buildings at front.
(conv. address 316 Queen St. W.)",
11 FALLINGBROOK DR,43.6772204,-79.2744643,Demolition,2003-10-22,2015-08-20,DEMOLISH SINGLE FAMILY DWELLING & POOL,
1001-1019 SHEPPARD AVE E,43.76953989,-79.37433375,Demolition,2004-05-12,2015-02-25,To demolish exising Canadian Tire.,
25 ROCHELLE CRES,43.775371,-79.35092191,Demolition,2004-06-29,2015-03-10,demolish existing 2 storey elementary school and demolish existing 4 portable classrooms.,
41 REINER RD,43.751648,-79.44071304,Demolition,2004-07-30,2015-11-30,DEMOLISH 1 STOREY DETACHED HOUSE.,
209 ROSEMARY RD,43.69476357,-79.42019067,Demolition,2004-10-26,2015-07-27,Demolish existing SFD and all accessory structures,
255 CHRISTIE ST,43.670294,-79.420808,Demolition,2004-11-04,2015-10-19,Demolish a 3-storey church.  Existing:  Church.  Proposed:  vacant land.,
37 HALLAM ST,43.66793551,-79.42742392,Demolition,2004-12-08,2015-07-08,Demolish existing 2-storey SFD detached house; in connection with permit #04-198896 NH.,
430 BALLIOL ST,43.70000506,-79.38385138,Demolition,2005-09-13,2015-10-28,Demolish 2 storey SFD and all accessory structures.,Res
257 OLD FOREST HILL RD,43.70091961,-79.43526279,Demolition,2005-10-18,2015-10-15,Demoish 2 storey SFD and all accessory structures.,Res
210 EASTERN AVE,43.65493384,-79.35490816,Demolition,2005-12-22,2015-09-15,Proposal to demolish industrial building,Industrial
479 QUEEN ST W,43.6483357,-79.3978559,Demolition,2006-01-03,2015-06-22,"Proposal to demolish existing 2 storey building (Also demo 477 & 481 Queen St W).
SEE LEAD FILE - 06 100 119",Retail & Office
481 QUEEN ST W,43.6483248,-79.3979046,Demolition,2006-01-03,2015-06-18,"Proposal to demolish existing 2 storey building (Also demo 477 & 479 Queen St W).
SEE LEAD FILE - 06 100 119",Retail & Office
955 WESTON RD,43.6838663,-79.4824666,Demolition,2006-03-15,2015-10-30,Demolition of a one-storey industrial building,Industrial
965-969 WESTON RD,43.6838663,-79.4824666,Demolition,2006-03-15,2015-10-30,demolish existing two storey industrial building,Industrial
400 WELLINGTON ST W,43.6450081,-79.390471,Demolition,2007-01-24,2015-06-23,Demolish existing accessory building.,Accessory Building
5200 YONGE ST,43.77055,-79.41380998,Demolition,2007-02-06,2015-12-09,Mcdonald's restaurant,Restaurant
1001-1019 SHEPPARD AVE E,43.76953989,-79.37433375,Demolition,2007-04-13,2015-02-25,Canadian Tire warehouse,Retail Store
609 AVENUE RD,43.69002176,-79.40239507,Demolition,2007-06-28,2015-12-23,Demolition of an existing six storey residential apartment building (equity co-operative apartment building).,Apartment Building
29 FLORENCE ST,43.6455949,-79.4329154,Demolition,2007-08-14,2015-08-27,Demolish storage warehouse buildings. ,Storage Warehouse
80 BENNETT RD,43.77066365,-79.16650642,Demolition,2008-01-23,2015-08-20,to demolish portable,School
801 COLLEGE ST,43.661022,-79.385707,Demolition,2008-05-28,2015-06-19,Demolish existing 2 storey mixed use.  See Proposed mixed use development application.,Mixed Use
31 WIDMER ST,43.6475116,-79.3914058,Demolition,2008-06-06,2015-03-05,"Demo existing 1 and 2 storey building ( currently a restaurant)
Refer Bldg Permit 08- 231 835 for the exterior cladding along tthe Party wall with out distrubing the existing party wall.
",Restaurant
9 BONAR PL,43.6529449,-79.4333126,Demolition,2008-07-18,2015-07-13,demolish two buildings  (2 -storey garage storing of boats) and maintain vacant land,Storage  (Garages Of Boats)
635 QUEEN ST W,43.64720803,-79.40328289,Demolition,2008-10-16,2015-03-19,permit to demolish existing building - Heritage approval required - existing retail store,Retail Store
369 KING ST W,43.64586625,-79.3927155,Demolition,2008-12-02,2015-01-09,to demolish a 2 storey brick structure used for commercial/office,Office
22 BATHURST ST,43.637208,-79.400084,Demolition,2009-01-08,2015-06-24,"Proposal to demo 8 industrial/storage buildings and cement processing equipment removal.
MRDD FEES DECLINED",Cement Yard
621 KING ST W,43.6440633,-79.4012165,Demolition,2009-02-27,2015-09-17,"Proposal to demo existing 3 sty hotel/motel.  N.B. Lot is not permitted to be used as a ""commercial parking lot"" pursuant to Section 12(2)204.  Also site plan approval is required for ""commercial parking lot"".  ",Hotel/Motel
200 MADISON AVE,43.6762193,-79.4064833,Demolition,2009-08-06,2015-03-11,Proposed demolition of  existing warehouse,Wareshoue
101 CHARLES ST E,43.669787,-79.380288,Demolition,2009-10-15,2015-03-25,Demolition of this semi detached building. Refer to folder no. 08 177631 for more information on the proposed structure. Refer to demolition folder no. 09 179150 for more information.,Multi Use
